Colocação,Usuário,Pontuação,Rodadas jogadas
461,rafaelpereira720,0,1
462,papaicrisdoxadrez,0,1
463,orlsilva,0,1
464,moreno34,0,1
465,miguel11rr,0,1
466,mickaelpavageau,0,2
467,mell46,0,1
468,mateusvianna,0,1
469,matbrug,0,1
470,marleiamelio,0,1
471,marcio1277,0,2
472,magado,0,1
473,lunoonai,0,1
474,lukazz029,0,1
475,luizinho15,0,2
476,lucianotribino,0,2
477,lucas_correa22,0,2
478,lucasazedoo,0,4
479,julia_bellini,0,1
480,jsalimjr,0,2
481,jordanofk,0,4
482,jedimasteryoda1979,0,1
483,jeandossantos,0,1
484,infantryhorse,0,1
485,ianpolit,0,1
486,gmcapybara,0,1
487,giovanachessbauru,0,1
488,gene_takavic,0,2
489,felipespchess,0,1
490,espigabjj,0,1
491,eduardo_kist,0,1
492,dmaalta7,0,1
493,diogoxx12,0,1
494,diegomorante0610,0,1
495,danilo132,0,1
496,cravenchiken63,0,1
497,chicov,0,1
498,cbex02,0,1
499,cawboy,0,1
500,casspel,0,1
501,carlito-22,0,1
502,botvinil,0,1
503,bioxadrez,0,1
504,barbosa12,0,1
505,andrefvf,0,1
506,agiotadopiccoli,0,1
507,1roque,0,1
508,tonystar2023,0,1
509,somiranda,0,1
510,primojonathas,0,2
511,ocigano,0,1
512,gustavoshirabe,0,1
513,gmleandrocarisimo,0,1
514,djfalcao,0,1
515,sk8race1007,0,1
516,maicoogliari,0,1
517,joao_cx,0,1
518,gil_anderson_x,0,1
519,etcadeamae2003,0,1
520,amor_com_o_suco,0,1
